Language_of_Literacy,Education,Locality,Sex,6-11,12-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
French,JSS/JHS,Rural,Male,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
French,JSS/JHS,Urban,Female,1,5,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
French,JSS/JHS,Urban,Male,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Middle,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Middle,Rural,Male,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
French,Middle,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Middle,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,SSS/SHS,Rural,Female,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,SSS/SHS,Rural,Male,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,SSS/SHS,Urban,Female,0,0,14,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
French,SSS/SHS,Urban,Male,0,0,8,18,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
French,Secondary,Rural,Female,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Secondary,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
French,Secondary,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Secondary,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Voc/technical/commercial,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Voc/technical/commercial,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Voc/technical/commercial,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Voc/technical/commercial,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Post middle/secondary Certificate,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Post middle/secondary Certificate,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Post middle/secondary Certificate,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Post middle/secondary Certificate,Urban,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Post middle/secondary Diploma,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Post middle/secondary Diploma,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Post middle/secondary Diploma,Urban,Female,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Post middle/secondary Diploma,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary/HND,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary/HND,Rural,Male,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary/HND,Urban,Female,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary/HND,Urban,Male,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Bachelor's Degree,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Bachelor's Degree,Rural,Male,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Bachelor's Degree,Urban,Female,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Bachelor's Degree,Urban,Male,0,0,1,2,1,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
French,Tertiary - Post graduate Certificate/Diploma,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Post graduate Certificate/Diploma,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Post graduate Certificate/Diploma,Urban,Female,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Post graduate Certificate/Diploma,Urban,Male,0,0,0,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Master's Degree,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Master's Degree,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Master's Degree,Urban,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
French,Tertiary - Master's Degree,Urban,Male,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - PhD,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - PhD,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - PhD,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Tertiary - PhD,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
French,Other (specify),Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Other (specify),Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Other (specify),Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,Other (specify),Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Never attended,Rural,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Never attended,Rural,Male,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Arabic,Never attended,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Never attended,Urban,Male,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0
Arabic,Nursery,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Nursery,Rural,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Nursery,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Nursery,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Kindergarten,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Kindergarten,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Kindergarten,Urban,Female,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Kindergarten,Urban,Male,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Primary,Rural,Female,14,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Primary,Rural,Male,12,17,2,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Arabic,Primary,Urban,Female,143,49,2,7,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Primary,Urban,Male,150,72,6,11,5,15,15,8,9,6,5,3,2,2,2,2,0,0,0,0
Arabic,JSS/JHS,Rural,Female,0,2,14,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Arabic,JSS/JHS,Rural,Male,0,5,22,5,5,5,11,6,6,0,1,0,0,0,0,0,0,0,0,0
Arabic,JSS/JHS,Urban,Female,4,29,79,14,13,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Arabic,JSS/JHS,Urban,Male,3,30,112,34,19,23,25,11,11,3,4,0,0,0,0,0,0,0,0,0
Arabic,Middle,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Middle,Rural,Male,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Arabic,Middle,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Middle,Urban,Male,0,0,0,0,0,0,0,0,0,2,3,3,3,2,0,0,0,0,0,0
Arabic,SSS/SHS,Rural,Female,0,0,8,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,SSS/SHS,Rural,Male,0,0,15,19,9,7,6,4,2,1,0,0,0,0,0,0,0,0,0,0
Arabic,SSS/SHS,Urban,Female,0,1,75,55,23,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,SSS/SHS,Urban,Male,0,0,71,95,45,43,36,32,20,3,0,0,0,0,0,0,0,0,0,0
Arabic,Secondary,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Secondary,Rural,Male,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
Arabic,Secondary,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Secondary,Urban,Male,0,0,0,0,0,0,2,3,1,7,3,2,3,1,2,0,2,0,0,0
Arabic,Voc/technical/commercial,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Voc/technical/commercial,Rural,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Voc/technical/commercial,Urban,Female,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Voc/technical/commercial,Urban,Male,0,0,0,0,3,3,0,1,2,1,0,1,1,0,0,0,0,0,0,0
Arabic,Post middle/secondary Certificate,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Post middle/secondary Certificate,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arabic,Post middle/secondary Certificate,Urban,Female,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Post middle/secondary Certificate,Urban,Male,0,0,0,1,0,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0
Arabic,Post middle/secondary Diploma,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Post middle/secondary Diploma,Rural,Male,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Arabic,Post middle/secondary Diploma,Urban,Female,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Post middle/secondary Diploma,Urban,Male,0,0,0,2,12,6,6,1,1,1,1,0,0,0,1,0,0,0,0,0
Arabic,Tertiary/HND,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary/HND,Rural,Male,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary/HND,Urban,Female,0,0,1,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary/HND,Urban,Male,0,0,3,19,11,12,15,5,4,1,0,1,0,0,0,0,0,0,0,0
Arabic,Tertiary - Bachelor's Degree,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - Bachelor's Degree,Rural,Male,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
Arabic,Tertiary - Bachelor's Degree,Urban,Female,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - Bachelor's Degree,Urban,Male,0,0,6,4,15,23,16,18,6,3,3,4,1,0,0,0,0,0,0,0
Arabic,Tertiary - Post graduate Certificate/Diploma,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - Post graduate Certificate/Diploma,Rural,Male,0,0,0,2,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - Post graduate Certificate/Diploma,Urban,Female,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - Post graduate Certificate/Diploma,Urban,Male,0,0,0,4,14,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - Master's Degree,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - Master's Degree,Rural,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - Master's Degree,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - Master's Degree,Urban,Male,0,0,0,0,1,4,5,6,0,2,2,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - PhD,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - PhD,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - PhD,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Tertiary - PhD,Urban,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Other (specify),Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Other (specify),Rural,Male,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Arabic,Other (specify),Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,Other (specify),Urban,Male,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Russian,Never attended,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Never attended,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Never attended,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Never attended,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Nursery,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Nursery,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Nursery,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Nursery,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Kindergarten,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Kindergarten,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Kindergarten,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Kindergarten,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Primary,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Primary,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Primary,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Primary,Urban,Male,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,JSS/JHS,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,JSS/JHS,Rural,Male,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,JSS/JHS,Urban,Female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian,JSS/JHS,Urban,Male,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Russian,Middle,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
