Severity,Locality,Education,Sex,5-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Some difficulty in at least one domain,Urban,SSS/SHS,Female,0,1,41,74,95,11,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Secondary,Male,0,0,0,0,0,0,0,2,2,1,1,2,3,3,0,2,1,1,0,0,0
Some difficulty in at least one domain,Urban,Secondary,Female,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Voc/technical/commercial,Male,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Voc/technical/commercial,Female,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Post middle/secondary Certificate,Male,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Post middle/secondary Certificate,Female,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Post middle/secondary Diploma,Male,0,0,0,0,0,2,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Post middle/secondary Diploma,Female,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Tertiary/HND,Male,0,0,0,0,11,4,5,0,1,2,0,1,1,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Tertiary/HND,Female,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Tertiary - Bachelor's Degree,Male,0,0,0,0,2,2,1,2,3,1,3,1,3,1,0,1,0,0,0,0,0
Some difficulty in at least one domain,Urban,Tertiary - Bachelor's Degree,Female,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0
Some difficulty in at least one domain,Urban,Tertiary - Post graduate Certificate/Diploma,Male,0,0,0,0,19,14,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0
