Speech,Education,Locality,Sex,5-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
No difficulty,Tertiary - PhD,Urban,Female,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Other (specify),Rural,Male,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
No difficulty,Other (specify),Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Other (specify),Urban,Male,0,0,0,0,3,1,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0
No difficulty,Other (specify),Urban,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Never attended,Rural,Male,10,4,1,3,4,2,6,1,5,4,9,0,3,4,3,8,9,7,2,1,0
"Yes, some difficulty",Never attended,Rural,Female,4,3,2,2,7,6,12,9,12,4,6,2,7,5,8,19,12,5,5,0,2
"Yes, some difficulty",Never attended,Urban,Male,18,7,1,4,11,11,7,7,13,16,7,5,13,1,10,7,8,6,6,0,2
"Yes, some difficulty",Never attended,Urban,Female,10,5,4,3,13,14,17,12,24,13,8,6,19,15,15,14,17,11,1,3,2
"Yes, some difficulty",Nursery,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Nursery,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Nursery,Urban,Male,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Nursery,Urban,Female,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Kindergarten,Rural,Male,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Kindergarten,Rural,Female,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Kindergarten,Urban,Male,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Kindergarten,Urban,Female,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Primary,Rural,Male,9,11,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Primary,Rural,Female,6,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Primary,Urban,Male,30,20,2,1,0,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"Yes, some difficulty",Primary,Urban,Female,31,19,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",JSS/JHS,Rural,Male,0,4,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
