Hearing,Education,Locality,Sex,5-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
No difficulty,Post middle/secondary Diploma,Rural,Female,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Post middle/secondary Diploma,Urban,Male,0,0,0,0,27,91,76,38,21,8,5,6,5,4,2,1,0,0,0,0,0
No difficulty,Post middle/secondary Diploma,Urban,Female,0,0,0,16,35,39,29,9,4,2,3,5,2,0,0,2,0,0,0,0,0
No difficulty,Tertiary/HND,Rural,Male,0,0,0,1,96,39,25,6,3,0,0,0,1,1,0,0,0,0,0,0,0
No difficulty,Tertiary/HND,Rural,Female,0,0,0,16,37,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Tertiary/HND,Urban,Male,0,0,2,15,201,124,112,83,37,17,17,4,2,3,1,1,0,0,0,0,0
No difficulty,Tertiary/HND,Urban,Female,0,0,0,29,124,53,41,17,5,2,1,0,2,0,0,0,0,0,0,0,0
No difficulty,Tertiary - Bachelor's Degree,Rural,Male,0,0,0,45,36,28,31,20,12,4,4,1,1,6,1,0,0,0,0,0,0
No difficulty,Tertiary - Bachelor's Degree,Rural,Female,0,0,0,22,6,8,4,2,3,1,0,0,0,1,0,0,0,0,0,0,0
No difficulty,Tertiary - Bachelor's Degree,Urban,Male,0,0,1,70,67,144,216,114,111,44,25,13,16,11,2,2,0,0,0,0,0
No difficulty,Tertiary - Bachelor's Degree,Urban,Female,0,0,0,7,39,52,64,29,5,4,7,3,0,0,0,0,0,0,0,0,0
No difficulty,Tertiary - Post graduate Certificate/Diploma,Rural,Male,0,0,0,0,26,33,22,2,2,1,2,0,0,0,1,0,1,0,0,0,0
No difficulty,Tertiary - Post graduate Certificate/Diploma,Rural,Female,0,0,0,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Tertiary - Post graduate Certificate/Diploma,Urban,Male,0,0,0,0,291,238,126,41,24,10,7,8,9,2,2,0,0,0,0,0,0
No difficulty,Tertiary - Post graduate Certificate/Diploma,Urban,Female,0,0,0,0,100,128,51,16,4,3,1,5,1,1,0,0,0,0,0,0,0
No difficulty,Tertiary - Master's Degree,Rural,Male,0,0,0,0,0,1,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0
No difficulty,Tertiary - Master's Degree,Rural,Female,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Tertiary - Master's Degree,Urban,Male,0,0,0,0,4,8,22,26,24,14,8,5,4,3,0,0,0,0,0,0,0
No difficulty,Tertiary - Master's Degree,Urban,Female,0,0,0,0,0,1,2,8,0,0,1,2,0,0,0,0,0,0,0,0,0
No difficulty,Tertiary - PhD,Rural,Male,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Tertiary - PhD,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Tertiary - PhD,Urban,Male,0,0,0,0,0,1,1,2,3,1,2,1,1,0,0,1,0,0,0,0,0
No difficulty,Tertiary - PhD,Urban,Female,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Other (specify),Rural,Male,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0
No difficulty,Other (specify),Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Other (specify),Urban,Male,0,0,0,0,3,1,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0
No difficulty,Other (specify),Urban,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Never attended,Rural,Male,12,2,2,2,4,4,3,2,11,5,16,9,10,11,15,14,17,13,6,2,0
"Yes, some difficulty",Never attended,Rural,Female,6,4,3,2,8,11,16,16,15,17,22,20,22,9,22,30,22,10,6,1,2
"Yes, some difficulty",Never attended,Urban,Male,21,4,5,7,18,10,14,16,21,21,19,13,20,10,27,19,18,14,8,0,4
"Yes, some difficulty",Never attended,Urban,Female,13,15,5,4,26,30,49,26,52,45,32,26,37,20,50,35,32,20,4,6,5
"Yes, some difficulty",Nursery,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Nursery,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Nursery,Urban,Male,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Nursery,Urban,Female,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Kindergarten,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Kindergarten,Rural,Female,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Kindergarten,Urban,Male,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Kindergarten,Urban,Female,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Primary,Rural,Male,11,9,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Yes, some difficulty",Primary,Rural,Female,8,8,3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Primary,Urban,Male,41,33,1,1,2,1,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0
"Yes, some difficulty",Primary,Urban,Female,39,51,0,2,1,2,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0
"Yes, some difficulty",JSS/JHS,Rural,Male,0,2,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",JSS/JHS,Rural,Female,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",JSS/JHS,Urban,Male,0,8,12,2,6,6,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",JSS/JHS,Urban,Female,0,6,16,3,9,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Middle,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Yes, some difficulty",Middle,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Middle,Urban,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"Yes, some difficulty",Middle,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Yes, some difficulty",SSS/SHS,Rural,Male,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",SSS/SHS,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",SSS/SHS,Urban,Male,0,0,3,10,9,4,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",SSS/SHS,Urban,Female,0,0,9,18,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Secondary,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Secondary,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yes, some difficulty",Secondary,Urban,Male,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
