"Population (5 years and older) by Disability, Education, Locality, Geographic_Area, Sex and Age",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Disability,Education,Locality,Sex,9-May,14-Oct,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Without Difficulty,Post middle/secondary Certificate,Urban,Male,0,0,0,1,13,14,17,8,4,3,1,6,3,4,2,1,0,0,0,0,0
Without Difficulty,Post middle/secondary Certificate,Urban,Female,0,0,0,4,6,8,16,1,3,2,0,1,3,0,0,0,0,0,0,0,0
Without Difficulty,Post middle/secondary Diploma,Rural,Male,0,0,1,0,13,12,17,5,3,1,1,1,1,1,1,1,0,0,0,0,0
Without Difficulty,Post middle/secondary Diploma,Rural,Female,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Post middle/secondary Diploma,Urban,Male,0,0,0,0,27,89,75,37,19,8,5,5,4,4,1,1,0,0,0,0,0
Without Difficulty,Post middle/secondary Diploma,Urban,Female,0,0,0,16,34,39,29,9,3,2,3,5,1,0,0,2,0,0,0,0,0
Without Difficulty,Tertiary/HND,Rural,Male,0,0,0,1,95,39,24,6,3,0,0,0,1,1,0,0,0,0,0,0,0
Without Difficulty,Tertiary/HND,Rural,Female,0,0,0,16,37,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary/HND,Urban,Male,0,0,2,15,193,121,108,83,36,16,17,3,1,3,1,1,0,0,0,0,0
Without Difficulty,Tertiary/HND,Urban,Female,0,0,0,26,119,52,41,17,5,2,1,0,1,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - Bachelor's Degree,Rural,Male,0,0,0,45,36,28,31,20,12,4,3,1,1,6,1,0,0,0,0,0,0
Without Difficulty,Tertiary - Bachelor's Degree,Rural,Female,0,0,0,22,6,7,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - Bachelor's Degree,Urban,Male,0,0,1,70,66,143,216,112,108,43,23,12,14,9,2,1,0,0,0,0,0
Without Difficulty,Tertiary - Bachelor's Degree,Urban,Female,0,0,0,7,39,52,63,26,5,4,5,2,0,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - Post graduate Certificate/Diploma,Rural,Male,0,0,0,0,26,33,21,2,2,1,2,0,0,0,1,0,1,0,0,0,0
Without Difficulty,Tertiary - Post graduate Certificate/Diploma,Rural,Female,0,0,0,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - Post graduate Certificate/Diploma,Urban,Male,0,0,0,0,274,231,122,39,23,10,7,7,8,1,2,0,0,0,0,0,0
Without Difficulty,Tertiary - Post graduate Certificate/Diploma,Urban,Female,0,0,0,0,95,122,50,15,4,3,1,3,1,1,0,0,0,0,0,0,0
Without Difficulty,Tertiary - Master's Degree,Rural,Male,0,0,0,0,0,1,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - Master's Degree,Rural,Female,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - Master's Degree,Urban,Male,0,0,0,0,4,8,21,24,24,14,8,5,4,3,0,0,0,0,0,0,0
Without Difficulty,Tertiary - Master's Degree,Urban,Female,0,0,0,0,0,1,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - PhD,Rural,Male,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - PhD,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - PhD,Urban,Male,0,0,0,0,0,1,1,2,3,1,2,1,1,0,0,0,0,0,0,0,0
Without Difficulty,Tertiary - PhD,Urban,Female,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Other (specify),Rural,Male,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Without Difficulty,Other (specify),Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Other (specify),Urban,Male,0,0,0,0,3,1,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0
Without Difficulty,Other (specify),Urban,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
