"Population (5 years and older) by Severity, Locality, Education, Geographic_Area, Sex and Age"

"Severity","Locality","Education","Geographic_Area","Sex","5-9","10-14","15-17","18-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
"No difficulty","Rural","Voc/technical/commercial","Savelugu Municipal","Female",0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Post middle/secondary Certificate","Savelugu Municipal","Male",0,0,0,0,0,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"No difficulty","Rural","Post middle/secondary Certificate","Savelugu Municipal","Female",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Post middle/secondary Diploma","Savelugu Municipal","Male",0,0,1,0,13,12,17,5,3,1,1,1,1,1,1,1,0,0,0,0,0
"No difficulty","Rural","Post middle/secondary Diploma","Savelugu Municipal","Female",0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Tertiary/HND","Savelugu Municipal","Male",0,0,0,1,95,39,24,6,3,0,0,0,1,1,0,0,0,0,0,0,0
"No difficulty","Rural","Tertiary/HND","Savelugu Municipal","Female",0,0,0,16,37,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Tertiary - Bachelor's Degree","Savelugu Municipal","Male",0,0,0,45,36,28,31,20,12,4,3,1,1,6,1,0,0,0,0,0,0
"No difficulty","Rural","Tertiary - Bachelor's Degree","Savelugu Municipal","Female",0,0,0,22,6,7,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Male",0,0,0,0,26,33,21,2,2,1,2,0,0,0,1,0,1,0,0,0,0
"No difficulty","Rural","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Female",0,0,0,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Tertiary - Master's Degree","Savelugu Municipal","Male",0,0,0,0,0,1,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Tertiary - Master's Degree","Savelugu Municipal","Female",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Tertiary - PhD","Savelugu Municipal","Male",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Tertiary - PhD","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Other (specify)","Savelugu Municipal","Male",0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"No difficulty","Rural","Other (specify)","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Never attended","Savelugu Municipal","Male",729,353,312,215,658,701,1015,925,1035,805,648,300,368,209,226,125,91,34,14,1,2
"No difficulty","Urban","Never attended","Savelugu Municipal","Female",933,487,314,280,1431,1904,2308,1814,1736,1013,796,372,464,252,294,200,214,62,21,0,4
"No difficulty","Urban","Nursery","Savelugu Municipal","Male",236,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Nursery","Savelugu Municipal","Female",231,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Kindergarten","Savelugu Municipal","Male",1132,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Kindergarten","Savelugu Municipal","Female",1039,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Primary","Savelugu Municipal","Male",3652,3172,123,99,184,116,130,88,64,39,26,17,13,8,5,2,1,0,1,0,0
"No difficulty","Urban","Primary","Savelugu Municipal","Female",3390,2726,91,85,181,155,105,64,30,14,12,4,3,3,5,0,1,0,0,0,0
